date,open,high,low,close,volume,fed_rate_change,dominance_change,fear_greed,stablecoin_supply_change,macro_score,label
2022-07-30 21:52:46.288606,100.19336400562858,100.83167931752936,100.05857653480751,100.01002473399771,225,0.016033583051412753,0.017015563274643222,38,0.016440568260165406,0.10732332963539382,hold
2022-07-31 21:52:46.288606,100.46409169797978,100.56758553250884,100.28500712683841,100.86201652007662,507,0.002270945406760108,0.0026340032661128776,15,0.039894034946571816,0.04868159301189356,hold
2022-08-01 21:52:46.288606,101.60617786815418,102.27899888902802,100.79008688167936,101.17421087145387,664,-0.047640803221920415,-0.0008618459542572288,16,0.021450744024154936,0.030898075848611165,hold
2022-08-02 21:52:46.288606,102.28321702259566,103.94211969932256,101.85144694767126,102.41543011637205,297,-0.008626710241967019,-0.0334531692032289,46,0.08992693320404489,0.12820308638777533,sell
2022-08-03 21:52:46.288606,101.35673851860449,102.3581871612767,100.6898435124658,101.88304712813942,910,-0.020075158073983957,-0.08576395273638276,62,-0.03858729098517391,0.12217783928423478,sell
2022-08-04 21:52:46.288606,102.37073363765933,103.93330240716364,100.91678062793765,101.70132318895166,287,0.02481056678874892,-0.08209596064063154,27,0.025167955123802238,0.06481596668944892,hold
2022-08-05 21:52:46.288606,103.32240953577083,103.7440332974866,102.6147552782708,104.66499677807661,797,-0.029172232484645424,-0.01324434511856927,47,0.05304286620781576,0.11936017778284644,sell
2022-08-06 21:52:46.288606,103.81269212979137,105.4901181299387,103.82054781292031,104.40786686881529,916,-0.02947799127059282,-0.028841374435801398,68,0.06878598076333554,0.17258482292249577,sell
2022-08-07 21:52:46.288606,103.62587837854498,105.35617211230343,102.07454363453596,104.32911607416733,909,-0.03104809567626232,0.0032269609348995615,10,0.03745279711662046,0.025694162763256333,sell
2022-08-08 21:52:46.288606,104.38834843815964,106.22254936447973,103.68658103451318,104.08516142615379,815,-0.03743843868437641,-0.03903236614874661,77,0.08633766161821811,0.1950464105694923,sell
2022-08-09 21:52:46.288606,103.714821091906,105.44536728843995,103.84300789058356,103.62726695106429,583,-0.01889929963291126,0.03758201829106486,53,0.09129871703258079,0.15717129302648478,hold
